feature,class
"[-2.9942526e+02  8.8479340e+01  1.7990124e+01  4.0028717e+01
  4.4935374e+00  3.1535757e+00 -9.5636406e+00 -8.8712463e+00
 -6.2881007e+00 -4.8873873e+00 -1.5290368e+01  1.1964538e+01
 -5.1829219e+00  1.8009020e-01 -5.7310562e+00 -9.4005299e-01
 -6.9045029e+00  2.2148018e+00 -6.6135015e+00  6.0033503e+00
 -4.1072378e-01 -3.3522778e+00  7.1792636e+00 -2.6824117e+00
  8.8369675e-02 -3.5646126e+00 -3.7808256e+00 -1.1397400e+00
 -6.2257540e-01  2.4553967e+00 -2.5308824e-01  3.5670378e+00
  2.3816497e+00  4.0013194e+00  3.7565398e+00  9.9019337e+00
  4.1333022e+00  6.4236827e+00  4.0953937e+00  3.5354834e+00]",female
"[-297.64444     105.14529      21.009289     48.182068      5.6427665
   -5.4907684   -24.81231      -7.341765      2.2989972     5.5742574
  -12.164109      8.041        -9.721912     -2.6739354    -4.8770294
   -1.1209459    -7.449505      0.48265612   -1.8304152     1.6897587
   -4.824207      4.0966563    -3.6327195     0.5429454     3.243638
   -3.6327248     3.3590271     2.536041      2.4241836     0.681341
    3.1554806     2.1536        2.6482186     6.1340694     5.6776333
    3.196773      5.1259685     1.8023418    -0.43540257    2.179068  ]",female
"[-3.3003558e+02  8.9639191e+01  1.9427933e+01  3.7234898e+01
  1.4553164e+01  5.1263437e+00 -1.5541724e+01 -8.7682772e+00
 -3.7387443e+00  6.9138918e+00 -9.4937534e+00  3.6112535e+00
 -3.9644086e-01 -1.6565790e+00 -7.9811959e+00 -2.6224520e+00
 -7.2463307e+00  8.9312726e-01 -2.4949393e+00 -3.4465754e-01
 -1.8026435e-01 -3.2431874e+00 -7.8751284e-01  1.1131482e+00
 -1.7536652e+00  2.6066399e+00 -1.9546909e+00  1.8821336e-01
 -2.3013492e+00  2.0399735e+00 -2.8240027e+00  3.2887200e-01
 -1.7619549e+00  1.6303699e-01  8.6759537e-01  2.4410806e+00
  1.6279286e+00 -1.3596408e-01  2.7455847e+00  3.7728989e+00]",female
"[-3.23992340e+02  1.43628296e+02  8.78026485e+00  3.82925301e+01
 -2.53570294e+00  9.55963135e+00 -6.21013832e+00 -1.84804964e+00
 -6.73817098e-01  3.60056329e+00 -1.23708324e+01  1.14431095e+01
 -4.19315195e+00 -1.68046999e+00  3.22008967e-01  3.84797883e+00
 -4.00195074e+00  6.93380404e+00 -5.28129220e-01 -2.97773886e+00
  8.98935020e-01  1.61541140e+00  4.80776691e+00  5.62686014e+00
  7.10201740e+00  1.44185054e+00 -9.37560499e-02 -3.33062291e-01
  8.12877417e-01 -3.13779354e+00 -9.96310771e-01 -4.38624144e-01
 -2.46112823e+00 -2.76092625e+00 -1.36720157e+00 -2.57829762e+00
 -2.63369894e+00  1.64597952e+00  1.54985875e-01 -3.22944671e-01]",male
"[-3.51293427e+02  1.31706604e+02  4.81256247e+00  3.04533443e+01
 -6.25136793e-01  1.07370996e+01 -1.13749933e+01 -3.32569718e-01
 -7.91050529e+00 -1.15904055e+01 -4.07822275e+00 -9.56101835e-01
  9.88941416e-02 -3.57295465e+00  7.01735926e+00 -7.96645761e-01
 -6.86406708e+00 -4.86202097e+00  1.15042078e+00 -4.68206978e+00
 -4.04905021e-01 -7.08161652e-01 -9.61854458e+00 -5.55833483e+00
 -2.88181210e+00 -1.18478365e-01 -4.56901312e+00 -1.80947757e+00
  2.39922976e+00 -8.93524528e-01 -1.76826692e+00 -1.12601745e+00
 -1.36057365e+00  6.82892442e-01 -8.97201300e-01 -2.11485291e+00
 -1.83014727e+00 -2.87038469e+00 -2.09089398e+00 -2.00061178e+00]",male
"[-347.48114     117.75012     -30.563517     24.783426     -7.3071513
    2.8277724   -11.850153     -4.2147946   -17.87346      -4.696826
   -4.473288     -8.9783        4.141835    -13.063904     -1.4815927
   -2.4267411    -3.2104423    -3.6322474    -1.0681076    -5.332051
   -9.904145      1.435998     -2.1336312    -1.59785      -3.295571
   -3.803013      0.92462254   -3.0164592    -5.5507674    -0.7014806
    0.48838344   -2.1515417    -3.4849436    -0.56923383   -2.138585
   -5.585235     -1.2189573    -1.4617198    -4.0075407    -3.7037344 ]",male
"[-3.0078366e+02  8.9630058e+01  5.0629077e+00  2.2388998e+01
  8.4257908e+00 -8.1946478e+00 -3.6803478e+01 -1.5984191e+01
 -2.6282600e+01 -8.0816660e+00 -2.3177643e+01  2.9182836e-01
 -2.0219057e+01 -1.8432994e-01 -6.6718440e+00 -1.9532452e+00
 -1.2767360e+01 -4.8297191e+00 -4.6932306e+00 -2.1422136e+00
 -2.1001906e+00 -4.8897920e+00 -2.7890913e+00 -8.4966679e+00
 -5.6697255e-01 -2.5004728e+00  1.0196762e+00 -2.3367043e+00
  2.5086584e+00  3.5785846e-02  8.3250767e-01 -1.8173795e+00
  1.4841746e+00 -2.0446515e+00  1.7194270e+00  2.0707541e+00
  2.0172541e-01  2.3533609e+00 -9.6263188e-01 -4.1883570e-01]",male
"[-3.62465210e+02  8.85936584e+01 -2.39853058e+01  2.23695164e+01
 -1.14025164e+01 -1.10434217e+01 -2.32094135e+01 -7.26730204e+00
 -2.45021896e+01 -8.28722858e+00 -1.86570568e+01 -6.81696463e+00
 -1.90067253e+01 -5.49810076e+00 -1.40906515e+01 -1.07740211e+01
 -1.13849192e+01 -6.42730522e+00 -9.28510571e+00 -1.09604454e+01
 -7.81986904e+00 -5.51560307e+00 -7.64126635e+00 -4.56206846e+00
 -2.28989625e+00 -3.52380919e+00 -1.48139608e+00 -2.25856924e+00
 -2.51435828e+00  1.63715817e-02 -1.31904340e+00 -8.16395804e-02
  1.62386191e+00  2.94450378e+00  2.19894433e+00  3.48367333e+00
  4.97432137e+00  4.28687572e+00  4.26297092e+00  1.21452343e+00]",female
"[-2.93506714e+02  6.67295303e+01  1.17289696e+01  2.83809872e+01
 -1.12606850e+01  1.36062813e+01 -2.58875866e+01  1.00496645e+01
 -2.19315319e+01  5.89159966e+00 -1.21006823e+01  3.72437239e+00
 -2.16884947e+00  4.95998716e+00 -2.25402594e+00 -1.24013555e+00
 -4.66312838e+00 -4.26710129e+00 -1.08016710e+01 -2.90440011e+00
 -8.39778137e+00 -5.93242502e+00 -7.44512320e+00 -5.12492085e+00
 -4.45747089e+00 -3.57936215e+00 -5.31673861e+00 -5.08124924e+00
 -2.79049778e+00 -2.00722194e+00 -9.61145103e-01  6.45275354e-01
  1.90569028e-01  2.30853009e+00 -1.30735129e-01  5.21783710e-01
 -1.35472178e+00 -2.77790546e+00 -1.18375540e+00 -1.32631278e+00]",female
"[-3.26837982e+02  1.16379265e+02 -1.40161018e+01  3.63734779e+01
  6.63156509e+00  8.90706730e+00 -2.44451356e+00  4.22020912e+00
 -5.06763363e+00 -1.18842134e+01 -7.81557322e+00  3.11769533e+00
 -1.51336699e+01 -7.44590902e+00  2.06498597e-02  1.70680666e+00
 -1.05394697e+01 -6.26681268e-01  2.47779226e+00 -3.55671287e+00
 -3.12957430e+00  1.13421631e+00 -4.73851681e+00  6.22161448e-01
 -2.40409470e+00 -5.51537991e+00 -1.72133237e-01 -8.19968164e-01
 -2.90124416e+00  3.40756401e-02 -1.80002999e+00  2.99233913e-01
 -1.11977994e+00 -2.95507431e-01 -6.16817474e-01 -1.59403062e+00
 -5.83573937e-01 -4.02806616e+00 -2.10243201e+00 -3.84383035e+00]",male
